prim_okved,zsk,inn_type,company_age,phone_mask,is_fraud
47.11,-1,2,mid,7915626,0
70.22,-1,2,old,7963727,1
47.19,-1,2,mid,7985363,0
46.90,2,2,mid,7980143,0
74.90,-1,2,old,7916800,0
41.20,-1,2,mid,7951244,0
49.41,-1,2,new,7929004,1
45.32,2,1,mid,7925669,0
52.24,-1,1,new,7922228,0
46.90,2,1,mid,7982608,0
46.73,2,1,mid,7953861,0
46.90,2,1,mid,7993934,0
43.21,1,1,mid,7912455,1
47.91,-1,2,mid,7953035,1
41.20,2,2,old,7962561,1
47.52.7,-1,2,new,7967338,0
45.32,1,1,mid,7926167,1
47.91,-1,2,mid,7927845,0
82.99,-1,1,old,7902260,0
93.29,-1,2,mid,7925850,0
69.10,-1,1,mid,7982587,0
70.10,-1,2,new,7911164,0
43.32,-1,2,mid,7912458,1
45.20,-1,2,old,7919879,0
49.42,2,1,mid,7985899,0
16.10,-1,1,mid,7922905,0
62.02,-1,2,old,7921932,0
47.91,-1,2,mid,7918768,0
49.41,1,2,mid,7951168,1
47.91.2,-1,2,new,7992098,0
43.29,1,2,new,7922148,1
46.73,2,1,mid,7985483,0
70.22,-1,2,new,7978010,0
43.21,1,2,mid,7915942,1
47.51.1,-1,2,new,7926264,0
68.20,-1,1,new,7977700,0
42.99,1,1,mid,7980492,0
73.11,-1,2,mid,7981793,1
43.21,-1,1,old,7983304,1
47.78.9,-1,2,old,7922680,0
71.11.1,-1,1,old,7951079,1
68.20,-1,2,old,7903720,0
25.62,1,1,mid,7922109,0
41.20,2,1,mid,7986768,0
46.90,-1,2,old,7905693,0
73.11,-1,2,old,7980890,1
63.11,-1,1,mid,7919960,0
43.21,2,1,mid,7951121,0
45.31,-1,1,mid,7926386,1
47.64,-1,2,old,7969134,0
45.32,-1,2,old,7961297,1
47.91.2,-1,2,old,7999789,0
47.73,1,1,mid,7977099,0
41.20,2,1,mid,7901686,1
46.90,2,1,mid,7981272,1
49.42,-1,2,mid,7977276,1
43.31,-1,2,mid,7919453,0
69.20,-1,2,mid,7905555,0
49.31,1,2,mid,7939899,0
47.91,1,2,mid,7902427,0
