,prim_okved,zsk,inn_type,company_age,phone_mask,is_fraud
0,47.11,-1,2,mid,7915626,0
1,70.22,-1,2,old,7963727,1
3,47.19,-1,2,mid,7985363,0
4,46.90,2,2,mid,7980143,0
5,74.90,-1,2,old,7916800,0
6,41.20,-1,2,mid,7951244,0
7,49.41,-1,2,new,7929004,1
8,45.32,2,1,mid,7925669,0
9,52.24,-1,1,new,7922228,0
10,46.90,2,1,mid,7982608,0
11,46.73,2,1,mid,7953861,0
12,46.90,2,1,mid,7993934,0
13,43.21,1,1,mid,7912455,1
14,47.91,-1,2,mid,7953035,1
15,41.20,2,2,old,7962561,1
16,47.52.7,-1,2,new,7967338,0
17,45.32,1,1,mid,7926167,1
18,47.91,-1,2,mid,7927845,0
19,82.99,-1,1,old,7902260,0
20,93.29,-1,2,mid,7925850,0
21,69.10,-1,1,mid,7982587,0
22,70.10,-1,2,new,7911164,0
23,43.32,-1,2,mid,7912458,1
25,45.20,-1,2,old,7919879,0
26,49.42,2,1,mid,7985899,0
27,16.10,-1,1,mid,7922905,0
28,62.02,-1,2,old,7921932,0
29,47.91,-1,2,mid,7918768,0
30,49.41,1,2,mid,7951168,1
31,47.91.2,-1,2,new,7992098,0
32,43.29,1,2,new,7922148,1
33,46.73,2,1,mid,7985483,0
34,70.22,-1,2,new,7978010,0
35,43.21,1,2,mid,7915942,1
36,47.51.1,-1,2,new,7926264,0
37,68.20,-1,1,new,7977700,0
38,42.99,1,1,mid,7980492,0
39,73.11,-1,2,mid,7981793,1
40,43.21,-1,1,old,7983304,1
41,47.78.9,-1,2,old,7922680,0
42,71.11.1,-1,1,old,7951079,1
43,68.20,-1,2,old,7903720,0
44,25.62,1,1,mid,7922109,0
45,41.20,2,1,mid,7986768,0
46,46.90,-1,2,old,7905693,0
47,73.11,-1,2,old,7980890,1
48,63.11,-1,1,mid,7919960,0
49,43.21,2,1,mid,7951121,0
51,45.31,-1,1,mid,7926386,1
52,47.64,-1,2,old,7969134,0
53,45.32,-1,2,old,7961297,1
54,47.91.2,-1,2,old,7999789,0
55,47.73,1,1,mid,7977099,0
56,41.20,2,1,mid,7901686,1
57,46.90,2,1,mid,7981272,1
58,49.42,-1,2,mid,7977276,1
59,43.31,-1,2,mid,7919453,0
60,69.20,-1,2,mid,7905555,0
61,49.31,1,2,mid,7939899,0
62,47.91,1,2,mid,7902427,0
63,53.20.3,-1,2,old,7909411,1
64,69.20,1,2,mid,7909607,0
65,49.41,-1,2,old,7906787,0
66,43.29,2,2,mid,7911545,1
67,84.11,-1,1,mid,7900158,1
68,56.10,-1,2,old,7963031,0
69,47.91,-1,1,mid,7963772,0
70,53.20.3,-1,2,mid,7926607,0
71,41.20,1,1,mid,7917925,0
72,41.20,2,2,mid,7951246,1
73,62.01,-1,2,mid,7963094,1
74,93.29,-1,2,mid,7967245,0
75,96.02,-1,2,mid,7950961,0
76,46.73.6,2,1,mid,7967726,1
77,46.90,1,1,old,7983137,1
78,49.41.1,-1,2,mid,7912465,0
79,68.32.2,-1,1,mid,7950964,0
80,49.42,-1,2,mid,7980900,0
81,15.11,1,1,old,7909653,1
82,68.20.2,-1,1,mid,7926558,0
83,47.19,-1,2,old,7917063,0
84,46.90,1,2,mid,7951308,1
85,56.10,-1,1,mid,7962074,0
86,63.99.1,-1,2,mid,7915738,0
87,43.99,1,1,old,7939755,0
88,62.01,-1,1,mid,7917650,0
89,46.90,2,1,mid,7953869,1
